id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Rainy Season,Hollow Vale,hip-hop,melancholic,0.55,88,0.32,0.70,0.30
12,Drop Zone,Pulse Circuit,edm,energetic,0.97,140,0.72,0.94,0.03
13,Morning Sonata,Vera Aldana,classical,peaceful,0.18,68,0.75,0.30,0.98
14,Golden Hour,Silk & Ember,r&b,romantic,0.58,96,0.78,0.74,0.42
15,Old Dirt Road,Cedar & June,country,nostalgic,0.45,94,0.64,0.56,0.82
16,Iron Collapse,Threshold Nine,metal,angry,0.98,168,0.22,0.52,0.04
17,Porch Light Lullaby,Wren & Hollow,folk,dreamy,0.33,82,0.68,0.45,0.91
18,Brass & Bounce,The Goldenaires,funk,uplifting,0.80,108,0.90,0.87,0.28
19,Blinding Lights,The Weeknd,pop,energetic,0.80,171,0.47,0.51,0.00
20,As It Was,Harry Styles,pop,melancholic,0.73,88,0.55,0.80,0.07
21,Levitating,Dua Lipa,pop,uplifting,0.82,103,0.84,0.83,0.03
22,Anti-Hero,Taylor Swift,pop,moody,0.59,97,0.48,0.65,0.12
23,Study Session,ChillHop,lofi,focused,0.30,75,0.53,0.55,0.84
24,Rainy Day Beats,Jinsang,lofi,chill,0.26,70,0.50,0.52,0.90
25,Late Night Tape,L'indecis,lofi,dreamy,0.38,82,0.62,0.60,0.75
26,Bohemian Rhapsody,Queen,rock,intense,0.83,140,0.50,0.48,0.18
27,Mr. Brightside,The Killers,rock,energetic,0.85,148,0.60,0.70,0.08
28,Smells Like Teen Spirit,Nirvana,rock,angry,0.90,117,0.35,0.62,0.04
29,Hotel California,Eagles,rock,moody,0.62,74,0.46,0.57,0.32
30,HUMBLE.,Kendrick Lamar,hip-hop,intense,0.78,150,0.42,0.72,0.05
31,God's Plan,Drake,hip-hop,uplifting,0.62,77,0.71,0.71,0.03
32,Sicko Mode,Travis Scott,hip-hop,energetic,0.88,155,0.48,0.68,0.04
33,Stronger,Kanye West,hip-hop,energetic,0.79,104,0.58,0.71,0.08
34,Levels,Avicii,edm,energetic,0.90,126,0.78,0.85,0.03
35,Animals,Martin Garrix,edm,intense,0.92,128,0.55,0.78,0.03
36,Titanium,David Guetta ft. Sia,edm,uplifting,0.75,126,0.68,0.72,0.05
37,Blue,Eiffel 65,edm,happy,0.82,138,0.74,0.80,0.02
38,Take Five,Dave Brubeck Quartet,jazz,relaxed,0.30,87,0.62,0.42,0.90
39,So What,Miles Davis,jazz,chill,0.28,68,0.58,0.40,0.92
40,Fly Me to the Moon,Frank Sinatra,jazz,romantic,0.45,108,0.78,0.60,0.85
41,Moonlight Sonata,Ludwig van Beethoven,classical,melancholic,0.15,58,0.22,0.25,0.99
42,Canon in D,Johann Pachelbel,classical,peaceful,0.20,104,0.72,0.35,0.98
43,Spring from Four Seasons,Antonio Vivaldi,classical,energetic,0.65,144,0.80,0.42,0.96
44,Thinking Out Loud,Ed Sheeran,r&b,romantic,0.48,79,0.78,0.70,0.45
45,No Scrubs,TLC,r&b,moody,0.63,96,0.55,0.76,0.10
46,Adorn,Miguel,r&b,romantic,0.55,102,0.72,0.68,0.25
47,Friends in Low Places,Garth Brooks,country,happy,0.68,104,0.82,0.72,0.68
48,Before He Cheats,Carrie Underwood,country,angry,0.75,98,0.38,0.62,0.42
49,Fast Car,Tracy Chapman,country,nostalgic,0.52,106,0.55,0.62,0.75
50,The Sound of Silence,Simon & Garfunkel,folk,melancholic,0.22,80,0.28,0.35,0.92
51,Ho Hey,The Lumineers,folk,happy,0.65,108,0.80,0.72,0.78
52,Wagon Wheel,Old Crow Medicine Show,folk,uplifting,0.70,108,0.84,0.78,0.72
53,Enter Sandman,Metallica,metal,intense,0.95,124,0.30,0.55,0.03
54,Paranoid,Black Sabbath,metal,angry,0.93,164,0.35,0.62,0.05
55,Highway to Hell,AC/DC,metal,energetic,0.88,116,0.55,0.68,0.05
56,Uptown Funk,Bruno Mars,funk,happy,0.92,115,0.88,0.92,0.05
57,Get Lucky,Daft Punk,funk,uplifting,0.78,116,0.82,0.85,0.05
58,Superstition,Stevie Wonder,funk,energetic,0.82,102,0.75,0.88,0.08
59,Weightless,Marconi Union,ambient,peaceful,0.15,65,0.45,0.25,0.95
60,Music for Airports,Brian Eno,ambient,peaceful,0.10,55,0.50,0.20,0.98
61,Watermark,Enya,ambient,dreamy,0.25,76,0.65,0.35,0.90
62,Midnight City,M83,synthwave,energetic,0.80,105,0.72,0.70,0.05
63,Nightcall,Kavinsky,synthwave,moody,0.65,113,0.40,0.65,0.08
64,A Real Hero,College ft. Electric Youth,synthwave,dreamy,0.55,118,0.68,0.62,0.15
65,Do I Wanna Know,Arctic Monkeys,indie pop,moody,0.72,85,0.38,0.60,0.08
66,Electric Feel,MGMT,indie pop,uplifting,0.78,108,0.80,0.78,0.12
67,Somebody That I Used to Know,Gotye,indie pop,melancholic,0.58,129,0.45,0.62,0.52
68,Kesariya,Arijit Singh,bollywood,romantic,0.55,112,0.75,0.65,0.40
69,Chaiyya Chaiyya,A.R. Rahman,bollywood,energetic,0.85,138,0.80,0.88,0.15
70,Tum Hi Ho,Arijit Singh,bollywood,romantic,0.35,72,0.65,0.45,0.70
71,Jai Ho,A.R. Rahman,bollywood,uplifting,0.82,130,0.85,0.85,0.10
72,Dilbar,Neha Kakkar,bollywood,energetic,0.90,135,0.75,0.95,0.05
73,Kal Ho Naa Ho,Sonu Nigam,bollywood,nostalgic,0.55,95,0.70,0.55,0.55
